UniRef50_A0AAV4DDC1	UniRef50_A0AAV4DDC1
UniRef50_A0ABD1UYW4	UniRef50_A0ABD1UYW4
UniRef50_UPI0002AC68D1	UniRef50_UPI0002AC68D1
UniRef50_A0ABY6PXM8	UniRef50_A0ABY6PXM8
UniRef50_UPI00249EF87F	UniRef50_UPI00249EF87F
UniRef50_UPI001FF4BCA4	UniRef50_UPI001FF4BCA4
UniRef50_UPI0037354206	UniRef50_UPI0037354206
UniRef50_A0AAU7VAC3	UniRef50_A0AAU7VAC3
UniRef50_A0A8C5R3G6	UniRef50_A0A8C5R3G6
UniRef50_F4B6G0	UniRef50_F4B6G0
UniRef50_A0A8J5M6P0	UniRef50_A0A8J5M6P0
UniRef50_A0A7S2VLV8	UniRef50_A0A7S2VLV8
UniRef50_A0A1U7JLV3	UniRef50_A0A1U7JLV3
UniRef50_A0A9P9DPF4	UniRef50_A0A9P9DPF4
UniRef50_A0ABP0SCU8	UniRef50_A0ABP0SCU8
UniRef50_A0A376L0A8	UniRef50_A0A376L0A8
UniRef50_A0A369QC52	UniRef50_A0A369QC52
UniRef50_UPI0015E0480F	UniRef50_UPI0015E0480F
UniRef50_A0A1W0WSV9	UniRef50_A0A1W0WSV9
UniRef50_A0ABQ9END2	UniRef50_A0ABQ9END2
UniRef50_A0A517DNM5	UniRef50_A0A517DNM5
UniRef50_A0A8J4XAA5	UniRef50_A0A8J4XAA5
UniRef50_UPI002479DF45	UniRef50_UPI002479DF45
UniRef50_A0ABT0U5H7	UniRef50_A0ABT0U5H7
UniRef50_UPI001C9E965A	UniRef50_UPI001C9E965A
UniRef50_UPI000B78BDA2	UniRef50_UPI000B78BDA2
UniRef50_L8GIM1	UniRef50_L8GIM1
UniRef50_A0A5C5Y2V4	UniRef50_A0A5C5Y2V4
UniRef50_UPI001EDFC5A0	UniRef50_UPI001EDFC5A0
UniRef50_UPI001CEB32AF	UniRef50_UPI001CEB32AF
UniRef50_A0A9D2D6X6	UniRef50_A0A9D2D6X6
UniRef50_H8ITG4	UniRef50_H8ITG4
UniRef50_A0A9J5Y7H8	UniRef50_A0A9J5Y7H8
UniRef50_A0AAN9MD47	UniRef50_A0AAN9MD47
UniRef50_A0A838YGF5	UniRef50_A0A838YGF5
UniRef50_UPI002164CD17	UniRef50_UPI002164CD17
UniRef50_UPI00047D963D	UniRef50_UPI00047D963D
UniRef50_A0AB40BUL7	UniRef50_A0AB40BUL7
UniRef50_A0A6P4ZQ43	UniRef50_A0A6P4ZQ43
UniRef50_A0A8K0A4T6	UniRef50_A0A8K0A4T6
UniRef50_A0A364Y6X4	UniRef50_A0A364Y6X4
UniRef50_L7JZ35	UniRef50_L7JZ35
UniRef50_UPI001552CE64	UniRef50_UPI001552CE64
UniRef50_A0A7S1YTS2	UniRef50_A0A7S1YTS2
UniRef50_UPI001A939612	UniRef50_UPI001A939612
UniRef50_A0A5N4CLY3	UniRef50_A0A5N4CLY3
UniRef50_UPI001BE4C39B	UniRef50_UPI001BE4C39B
UniRef50_A0A7J7IFE6	UniRef50_A0A7J7IFE6
UniRef50_A0A7L9FGY0	UniRef50_A0A7L9FGY0
UniRef50_UPI00059CB495	UniRef50_UPI00059CB495
UniRef50_UPI0036B681F9	UniRef50_UPI0036B681F9
UniRef50_UPI00131B0189	UniRef50_UPI00131B0189
UniRef50_A0A9P1IUC8	UniRef50_A0A9P1IUC8
UniRef50_A0A2A9ND69	UniRef50_A0A2A9ND69
UniRef50_UPI002636F736	UniRef50_UPI002636F736
UniRef50_A0A2J7ZMF3	UniRef50_A0A2J7ZMF3
UniRef50_A0A6F8XDD6	UniRef50_A0A6F8XDD6
UniRef50_A0A1U7CWF8	UniRef50_A0A1U7CWF8
UniRef50_UPI000951EB09	UniRef50_UPI000951EB09
UniRef50_A0A803NCS8	UniRef50_A0A803NCS8
UniRef50_UPI00363D94E1	UniRef50_UPI00363D94E1
UniRef50_A0A8S3Z211	UniRef50_A0A8S3Z211
UniRef50_UPI002AC87B20	UniRef50_UPI002AC87B20
UniRef50_A0A6I6FIC4	UniRef50_A0A6I6FIC4
UniRef50_A0A9Q0YH62	UniRef50_A0A9Q0YH62
UniRef50_A0AAW1V6G1	UniRef50_A0AAW1V6G1
UniRef50_UPI000B908A92	UniRef50_UPI000B908A92
UniRef50_A0A9P6EAK1	UniRef50_A0A9P6EAK1
UniRef50_UPI001D049CF7	UniRef50_UPI001D049CF7
UniRef50_A0A1H3X1W4	UniRef50_A0A1H3X1W4
UniRef50_Q4V1D8	UniRef50_Q4V1D8
UniRef50_U7UGF4	UniRef50_U7UGF4
UniRef50_A0A4Y2MD24	UniRef50_A0A4Y2MD24
UniRef50_A0A075I2I0	UniRef50_A0A075I2I0
UniRef50_A0A502BQS7	UniRef50_A0A502BQS7
UniRef50_A0AAD1WQB0	UniRef50_A0AAD1WQB0
UniRef50_A0AAV5API9	UniRef50_A0AAV5API9
UniRef50_A0AAV7TVH8	UniRef50_A0AAV7TVH8
UniRef50_A0A222WRF6	UniRef50_A0A222WRF6
UniRef50_A0A9Q0REX6	UniRef50_A0A9Q0REX6
UniRef50_UPI002FF19711	UniRef50_UPI002FF19711
UniRef50_A0AAV2ST72	UniRef50_A0AAV2ST72
UniRef50_UPI003D34A68C	UniRef50_UPI003D34A68C
UniRef50_A0A1W0X644	UniRef50_A0A1W0X644
UniRef50_A0A1L9T2R7	UniRef50_A0A1L9T2R7
UniRef50_A0A1D2VPK6	UniRef50_A0A1D2VPK6
UniRef50_A0A6J1W3N4	UniRef50_A0A6J1W3N4
UniRef50_A0A381RRF2	UniRef50_A0A381RRF2
UniRef50_A0A8X6JFJ1	UniRef50_A0A8X6JFJ1
UniRef50_A0A183H513	UniRef50_A0A183H513
UniRef50_D7NAF6	UniRef50_D7NAF6
UniRef50_A0A564FVD9	UniRef50_A0A564FVD9
UniRef50_A0AA39GHM0	UniRef50_A0AA39GHM0
UniRef50_A0A7S1HU22	UniRef50_A0A7S1HU22
UniRef50_UPI0022DD5428	UniRef50_UPI0022DD5428
UniRef50_UPI0026E46F01	UniRef50_UPI0026E46F01
UniRef50_UPI001E4ED19C	UniRef50_UPI001E4ED19C
UniRef50_B8HIS7	UniRef50_B8HIS7
UniRef50_A0A284VUB3	UniRef50_A0A284VUB3
UniRef50_A0A5B7GDW3	UniRef50_A0A5B7GDW3
UniRef50_A0A1L6TE58	UniRef50_A0A1L6TE58
UniRef50_A0A9D1L9D0	UniRef50_A0A9D1L9D0
UniRef50_UPI0026342906	UniRef50_UPI0026342906
UniRef50_UPI00237E4BCC	UniRef50_UPI00237E4BCC
UniRef50_A0AAU8AY43	UniRef50_A0AAU8AY43
UniRef50_UPI002549C985	UniRef50_UPI002549C985
UniRef50_UPI003266EC03	UniRef50_UPI003266EC03
UniRef50_A0ABP7FSC2	UniRef50_A0ABP7FSC2
UniRef50_A0ABR2WZW3	UniRef50_A0ABR2WZW3
UniRef50_A0A2P5DXQ2	UniRef50_A0A2P5DXQ2
UniRef50_X0WBF9	UniRef50_X0WBF9
UniRef50_A0A1Y1I8D0	UniRef50_A0A1Y1I8D0
UniRef50_A0A2M7IJN4	UniRef50_A0A2M7IJN4
UniRef50_A0A5J4RIU9	UniRef50_A0A5J4RIU9
UniRef50_A0AAD5KJG6	UniRef50_A0AAD5KJG6
UniRef50_UPI002587F163	UniRef50_UPI002587F163
UniRef50_A0A1B1TEU4	UniRef50_A0A1B1TEU4
