UniRef50_A0A5N5T3U9	ss_cb513_1cyx-A	0.413	0.218	0.224
UniRef50_UPI0022341D6D	contact_valid_40#2XR6_1_A	0.342	0.879	0.812
UniRef50_A0A1J4L4L4	ss_cb513_1fin-D	0.302	0.522	0.696
UniRef50_A0A1J4L4L4	ss_cb513_1fin-D_d486fbf7aedb	0.302	0.522	0.696
UniRef50_A0A7J3UZC1	ec_dev_A0B7E1	0.321	0.959	0.973
UniRef50_A0A7J3UZC1	ec_train_Q6AR63	0.303	0.956	0.960
UniRef50_A0A7J3UZC1	ec_train_B4RCW4	0.306	0.963	0.969
UniRef50_A0A7J3UZC1	ec_test_B9KY71	0.315	0.902	0.884
UniRef50_A0A7J3UZC1	ec_dev_Q72K27	0.352	0.801	0.799
UniRef50_A0A7J3UZC1	ec_test_B6JGA4	0.347	0.801	0.801
UniRef50_A0A7J3UZC1	ss_cb513_1nal-4	0.310	0.828	0.828
UniRef50_A0A7J3UZC1	ec_train_A1KTJ9	0.300	0.824	0.842
UniRef50_A0A7J3UZC1	ec_test_Q8UGL3	0.304	0.895	0.908
UniRef50_A0A7J3UZC1	ec_dev_Q310Q2	0.303	0.780	0.795
UniRef50_A0A7J3UZC1	ec_train_A8LKQ5	0.311	0.828	0.842
UniRef50_UPI001C2C5C94	ss_cb513_1fjm-B	0.377	0.450	0.133
UniRef50_A0A6I9SW10	pg_CATR_CHLRE_Tsuboyama_2023_2AMI	0.384	0.409	0.875
UniRef50_UPI003CC9F62D	contact_valid_40#2XR6_1_A	0.308	0.587	0.741
UniRef50_UPI003736669F	pg_NUD15_HUMAN_Suiter_2020	0.333	0.741	0.591
UniRef50_A0A7R9YK41	ss_cb513_1g6n-A	0.315	0.242	0.452
UniRef50_A0A075AMI4	contact_valid_70#3MB4_1_A	0.320	0.217	0.653
UniRef50_A0A8J3I1C5	ss_train_1tqy-F	0.413	0.708	0.106
UniRef50_A0A7S3Z3X4	ss_cb513_1vhr-B	0.304	0.696	0.565
UniRef50_A0A7S3Z3X4	contact_valid_90#1ZZW_1_A	0.300	0.710	0.658
UniRef50_A0A0B6ZZC1	ss_cb513_1etu-A	0.330	0.682	0.321
UniRef50_A0A0B6ZZC1	ss_cb513_1eft-A	0.321	0.682	0.314
UniRef50_UPI00147146A0	ss_cb513_1ubd-C	0.407	0.248	0.903
UniRef50_UPI00147146A0	ss_cb513_1ubd-C_c2bb4ad5765f	0.407	0.248	0.903
UniRef50_A0A136KHG1	ss_valid_1q74-D	0.302	0.529	0.488
UniRef50_A0ABS5NKW0	ss_cb513_1fuq-B_fa51ac0e3cef	0.481	0.991	0.225
UniRef50_A0ABS5NKW0	ss_cb513_1fuq-B_fa51ac0e3cef	0.481	0.991	0.225
UniRef50_A0ABS5NKW0	ss_cb513_1fuq-B	0.481	0.991	0.225
UniRef50_A0A931E2V4	ss_valid_4xrf-A	0.303	0.618	0.697
UniRef50_UPI001FC8D9D1	ss_cb513_1tig-A	0.382	0.528	1.000
UniRef50_UPI001FC8D9D1	ss_cb513_1tif-A	0.388	0.404	0.923
UniRef50_A0A9P6KJC9	ss_cb513_1ubd-C	0.444	0.168	0.363
UniRef50_A0A9P6KJC9	ss_cb513_1ubd-C_c2bb4ad5765f	0.444	0.168	0.363
UniRef50_A0A2X2WLY0	contact_valid_10#2FK5_1_A	0.309	0.800	0.355
UniRef50_A0A6P4YBX0	ss_cb513_1ubd-C	0.416	0.722	0.960
UniRef50_A0A6P4YBX0	ss_cb513_1ubd-C_c2bb4ad5765f	0.416	0.722	0.960
UniRef50_UPI00254506D7	ss_train_5m3i-B	0.446	0.239	0.279
UniRef50_UPI003526C253	ss_cb513_3chy-A	0.320	0.780	0.969
UniRef50_L1QKQ6	ss_cb513_1amp-A	0.322	0.253	0.313
UniRef50_UPI001D0DA32C	ss_train_4x1t-A	0.391	0.465	0.113
UniRef50_A0A1P8F9K2	ss_train_1mr7-A	0.380	0.473	0.502
UniRef50_A0A6J6P789	ss_casp12_5lev-A	0.320	0.336	0.193
UniRef50_A0A6J6P789	contact_test_TBM-hard#T0945	0.320	0.336	0.193
UniRef50_A0A8U8AZB9	ss_cb513_1ubd-C	0.367	0.504	0.637
UniRef50_A0A8U8AZB9	ss_cb513_1ubd-C_c2bb4ad5765f	0.367	0.504	0.637
UniRef50_A0A9D4LUU1	ss_cb513_2cab-A	0.375	0.559	0.292
UniRef50_A0A669QGC9	ss_cb513_3cln-A	0.545	0.601	0.966
UniRef50_A0A669QGC9	pg_CATR_CHLRE_Tsuboyama_2023_2AMI	0.900	0.294	0.972
UniRef50_A0A444YW98	pg_UBC9_HUMAN_Weile_2017	0.359	0.944	0.975
UniRef50_A0A166A4Z9	ec_test_Q84TF5	0.377	0.153	0.305
UniRef50_A0A166A4Z9	ec_train_O22255	0.356	0.183	0.260
UniRef50_A0A166A4Z9	ec_dev_Q9SLC4	0.400	0.097	0.184
UniRef50_A0A166A4Z9	ec_test_Q9M0R5	0.321	0.140	0.139
UniRef50_A0A166A4Z9	ec_dev_Q9LRB7	0.309	0.170	0.194
UniRef50_A0A166A4Z9	ec_train_Q570X5	0.350	0.150	0.199
UniRef50_A0A166A4Z9	ec_dev_P0CH30	0.322	0.147	0.148
UniRef50_A0A166A4Z9	ec_train_Q8H7N9	0.324	0.185	0.173
UniRef50_A0A166A4Z9	ec_train_Q2HIJ8	0.387	0.153	0.268
