2026/08/05 23:06:44.209, 0, 0, 4, 64.00
2026/08/05 23:06:45.214, 0, 0, 21, 73.98
2026/08/05 23:06:46.217, 6, 0, 2483, 73.98
2026/08/05 23:06:47.219, 1, 0, 2519, 73.65
2026/08/05 23:06:48.222, 85, 27, 2869, 280.87
2026/08/05 23:06:49.225, 91, 33, 2953, 282.06
2026/08/05 23:06:50.227, 91, 33, 2957, 271.17
2026/08/05 23:06:51.230, 93, 46, 3441, 243.43
2026/08/05 23:06:52.233, 91, 39, 3441, 292.89
2026/08/05 23:06:53.235, 94, 45, 3441, 322.81
2026/08/05 23:06:54.238, 88, 41, 3441, 302.55
2026/08/05 23:06:55.240, 94, 44, 3441, 294.14
2026/08/05 23:06:56.243, 3, 0, 3441, 93.02
2026/08/05 23:06:57.245, 3, 0, 3441, 92.36
2026/08/05 23:06:58.248, 48, 0, 3473, 296.85
2026/08/05 23:06:59.251, 95, 43, 3473, 295.01
2026/08/05 23:07:00.253, 94, 40, 3473, 319.18
2026/08/05 23:07:01.256, 95, 41, 3473, 320.96
2026/08/05 23:07:02.258, 96, 45, 3473, 288.08
2026/08/05 23:07:03.261, 29, 6, 3473, 95.40
